Beethoven,(1992),PG,87 min,$57.11M,Brian Levant,Charles Grodin,Bonnie Hunt,Dean Jones,Nicholle Tom
Forever Young,(1992),PG,102 min,$55.96M,Steve Miner,Mel Gibson,Jamie Lee Curtis,Elijah Wood,Isabel Glasser
Alien³,(1992),R,114 min,$55.47M,David Fincher,Sigourney Weaver,Charles S. Dutton,Charles Dance,Paul McGann
My Cousin Vinny,(1992),R,120 min,$52.93M,Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Mitchell Whitfield
Sneakers,(1992),PG-13,126 min,$51.43M,Phil Alden Robinson,Robert Redford,Dan Aykroyd,Sidney Poitier,Jo Marr
The Mighty Ducks,(1992),PG,100 min,$50.75M,Stephen Herek,Emilio Estevez,Joss Ackland,Lane Smith,Heidi Kling
Malcolm X,(1992),PG-13,202 min,$48.17M,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee
Single White Female,(1992),R,107 min,$47.92M,Barbet Schroeder,Bridget Fonda,Jennifer Jason Leigh,Steven Weber,Peter Friedman
The Distinguished Gentleman,(1992),R,112 min,$46.67M,Jonathan Lynn,Eddie Murphy,Lane Smith,Sheryl Lee Ralph,Joe Don Baker
Medicine Man,(1992),PG-13,106 min,$45.50M,John McTiernan,Sean Connery,Lorraine Bracco,José Wilker,Rodolfo De Alexandre
Passenger 57,(1992),R,84 min,$44.07M,Kevin Hooks,Wesley Snipes,Bruce Payne,Tom Sizemore,Alex Datcher
A River Runs Through It,(1992),PG,123 min,$43.44M,Robert Redford,Craig Sheffer,Brad Pitt,Tom Skerritt,Brenda Blethyn
Encino Man,(1992),PG,88 min,$40.69M,Les Mayfield,Sean Astin,Brendan Fraser,Pauly Shore,Megan Ward
Mo' Money,(1992),R,89 min,$40.23M,Peter MacDonald,Damon Wayans,Stacey Dash,Marlon Wayans,Joe Santos
Universal Soldier,(1992),R,102 min,$36.30M,Roland Emmerich,Jean-Claude Van Damme,Dolph Lundgren,Ally Walker,Ed O'Ross
Honeymoon in Vegas,(1992),PG-13,96 min,$35.21M,Andrew Bergman,James Caan,Nicolas Cage,Sarah Jessica Parker,Pat Morita
The Lawnmower Man,(1992),R,108 min,$32.10M,Brett Leonard,Jeff Fahey,Pierce Brosnan,Jenny Wright,Mark Bringelson
Sleepwalkers,(1992),R,91 min,$30.52M,Mick Garris,Brian Krause,Mädchen Amick,Alice Krige,Jim Haynie
3 Ninjas,(1992),PG,84 min,$29.00M,Jon Turteltaub,Victor Wong,Michael Treanor,Max Elliott Slade,Chad Power
Final Analysis,(1992),R,124 min,$28.59M,Phil Joanou,Richard Gere,Kim Basinger,Uma Thurman,Eric Roberts
